GROSS_SPA,NET_SPA,REQUESTER_CODE,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
95.27,32.56,DG1-DEPOT,RR,2018/0427(NLE),APPE,NLE,MAIN,AFCO,AFCO
9.39,8.95,LIBE,AL,2018/0427(NLE),APPE,NLE,AVI,LIBE,LIBE
50.29,43.39,AFCO,PR,2018/0427(NLE),APPE,NLE,MAIN,AFCO,AFCO
4.34,4.05,IMCO,AL,2018/0427(NLE),APPE,NLE,AVI,IMCO,IMCO
1.28,1.04,TRAN,AL,2018/0427(NLE),APPE,NLE,AVI,TRAN,TRAN
1.96,1.72,INTA,AL,2018/0427(NLE),APPE,NLE,AVI,INTA,INTA
6.43,5.88,EMPL,AL,2018/0427(NLE),APPE,NLE,AVI,EMPL,EMPL
3.49,0.86,AFET,AL,2018/0427(NLE),APPE,NLE,AVI,AFET,AFET
3.48,2.92,AFET,AL,2018/0427(NLE),APPE,NLE,AVI,AFET,AFET
3.78,3.59,AGRI,AL,2018/0427(NLE),APPE,NLE,AVI,AGRI,AGRI
4.3,1.68,AGRI,AL,2018/0427(NLE),APPE,NLE,AVI,AGRI,AGRI
3.85,2.88,ENVI,AL,2018/0427(NLE),APPE,NLE,AVI,ENVI,ENVI
3.74,1.15,ENVI,AL,2018/0427(NLE),APPE,NLE,AVI,ENVI,ENVI
3.45,3.09,PETI,AL,2018/0427(NLE),APPE,NLE,AVI,PETI,PETI
3.45,0.82,PETI,AL,2018/0427(NLE),APPE,NLE,AVI,PETI,PETI
3.76,1.22,PETI,AL,2018/0427(NLE),APPE,NLE,AVI,PETI,PETI
5.15,1.42,JURI,AL,2018/0427(NLE),APPE,NLE,AVI,JURI,JURI
4.84,3.48,JURI,AL,2018/0427(NLE),APPE,NLE,AVI,JURI,JURI
4.48,3.22,BUDG,AM,2016/2235(BUD),MOFU,BUD,MAIN,BUDG,BUDG
10.32,6.72,BUDG,PR,2016/2235(BUD),MOFU,BUD,MAIN,BUDG,BUDG
1.95,1.81,ECR,NR,2019/0017(COD),LEG,COD,MAIN,ENVI,ENVI
61.32,28.08,DG1-DEPOT,RR,2019/0017(COD),LEG,COD,MAIN,ENVI,ENVI
2.03,1.89,ECR,NR,2019/0017(COD),LEG,COD,MAIN,ENVI,ENVI
94.21,51.36,ENVI,AM,2019/0017(COD),LEG,COD,MAIN,ENVI,ENVI
31.27,18.81,ENVI,PR,2019/0017(COD),LEG,COD,MAIN,ENVI,ENVI
55.15,21.96,TRAN,AM,2019/0017(COD),LEG,COD,AVI,TRAN,TRAN
12.54,5.37,TRAN,AD,2019/0017(COD),LEG,COD,AVI,TRAN,TRAN
2.78,1.89,TRAN,PA,2019/0017(COD),LEG,COD,AVI,TRAN,TRAN
9.41,3.86,DG1-DEPOT,RR,2019/0076(NLE),APPE,NLE,MAIN,PECH,PECH
4.94,4.28,PECH,PR,2019/0076(NLE),APPE,NLE,MAIN,PECH,PECH
3.43,1.68,BUDG,AD,2019/0076(NLE),APPE,NLE,AVI,BUDG,BUDG
2.23,1.21,BUDG,PA,2019/0076(NLE),APPE,NLE,AVI,BUDG,BUDG
1.14,0.29,ECR,NR,2019/0076(NLE),APPE,NLE,MAIN,PECH,PECH
4.13,2.91,INTA,PR,2019/0099(NLE),APPE,NLE,MAIN,INTA,INTA
0.93,0.5,INTA,AM,2019/0099(NLE),APPE,NLE,MAIN,INTA,INTA
1.0,0.88,ECR,NT,2019/0099(NLE),APPE,NLE,MAIN,INTA,INTA
1.48,0.88,DEVE,AD,2019/0099(NLE),APPE,NLE,AVI,DEVE,DEVE
4.14,2.05,DG1-DEPOT,RR,2019/0099(NLE),APPE,NLE,MAIN,INTA,INTA
4.15,3.88,DEVE,PA,2019/0099(NLE),APPE,NLE,AVI,DEVE,DEVE
4.15,3.89,DEVE,PA,2019/0099(NLE),APPE,NLE,AVI,DEVE,DEVE
0.67,0.3,TRAN,AM,2019/0107(COD),LEG,COD,MAIN,TRAN,TRAN
3.68,2.13,TRAN,PR,2019/0107(COD),LEG,COD,MAIN,TRAN,TRAN
12.59,4.59,DG1-DEPOT,RR,2019/0107(COD),LEG,COD,MAIN,TRAN,TRAN
6.37,3.09,JURI,AL,2019/0107(COD),LEG,COD,OLB,JURI,JURI
8.56,4.8,IMCO,PA,2019/0101(COD),LEG,COD,AHE,IMCO,IMCO
47.67,17.99,DG1-DEPOT,RR,2019/0101(COD),LEG,COD,MHE,ENVI,ENVI
45.89,18.3,TRAN,AM,2019/0101(COD),LEG,COD,AVI,TRAN,TRAN
52.79,25.9,ENVI,AM,2019/0101(COD),LEG,COD,MHE,ENVI,ENVI
10.07,4.87,TRAN,PA,2019/0101(COD),LEG,COD,AVI,TRAN,TRAN
8.9,3.09,IMCO,AD,2019/0101(COD),LEG,COD,AHE,IMCO,IMCO
11.3,4.54,IMCO,AM,2019/0101(COD),LEG,COD,AHE,IMCO,IMCO
15.7,6.22,TRAN,AD,2019/0101(COD),LEG,COD,AVI,TRAN,TRAN
12.51,5.94,ENVI,PR,2019/0101(COD),LEG,COD,MHE,ENVI,ENVI
6.96,2.93,TRAN,AM,2019/0101(COD),LEG,COD,AVI,TRAN,TRAN
3.34,1.47,TRAN,PR,2010/0186(NLE),APPE,NLE,MAIN,TRAN,TRAN
4.82,2.15,DG1-DEPOT,RR,2010/0186(NLE),APPE,NLE,MAIN,TRAN,TRAN
2.18,0.63,ECON,PR,2019/0903(NLE),CNPE,NLE,MAIN,ECON,ECON
2.18,1.15,ECON,PR,2019/0903(NLE),CNPE,NLE,MAIN,ECON,ECON
1.04,0.47,AGRI,AM,2019/0142(NLE),APPE,NLE,AVI,AGRI,AGRI
1.82,0.76,INTA,PR,2019/0142(NLE),APPE,NLE,MAIN,INTA,INTA
2.98,2.78,AGRI,PA,2019/0142(NLE),APPE,NLE,AVI,AGRI,AGRI
7.43,3.12,DG1-DEPOT,RR,2019/0142(NLE),APPE,NLE,MAIN,INTA,INTA
4.48,2.12,AGRI,AD,2019/0142(NLE),APPE,NLE,AVI,AGRI,AGRI
1.61,1.08,INTA,AM,2019/0142(NLE),APPE,NLE,MAIN,INTA,INTA
5.12,3.03,LIBE,PR,2019/0807(CNS),LEG,CNS,MAIN,LIBE,LIBE
4.43,1.42,ENVI,RE,2019/2803(RSP),DECL,RSP,MAIN,ENVI,ENVI
1.21,0.54,ENVI,QO,2019/2803(RSP),DECL,RSP,MAIN,ENVI,ENVI
50.9,29.16,ENVI,AM,2019/2803(RSP),DECL,RSP,MAIN,ENVI,ENVI
6.03,3.96,ECON,PR,2019/2110(INI),ANRE,INI,MAIN,ECON,ECON
0.95,0.88,ECR,NR,2019/2110(INI),ANRE,INI,MAIN,ECON,ECON
88.55,52.26,ECON,AM,2019/2110(INI),ANRE,INI,MAIN,ECON,ECON
17.07,13.72,CONT,PR,2019/0812(NLE),CNPE,NLE,MAIN,CONT,CONT
21.48,8.67,DG1-DEPOT,RR,2019/0812(NLE),CNPE,NLE,MAIN,CONT,CONT
3.91,3.07,EMPL,AL,2019/2114(BUD),MOFU,BUD,AVI,EMPL,EMPL
15.3,7.52,DG1-DEPOT,RR,2019/2114(BUD),MOFU,BUD,MAIN,BUDG,BUDG
9.67,5.54,BUDG,PR,2019/2114(BUD),MOFU,BUD,MAIN,BUDG,BUDG
2.05,1.13,BUDG,AM,2019/2114(BUD),MOFU,BUD,MAIN,BUDG,BUDG
150.25,79.46,AFET,AM,2019/2136(INI),ANRE,INI,MAIN,AFET,AFET
6.85,5.83,AFET,PR,2019/2136(INI),ANRE,INI,MAIN,AFET,AFET
1.01,0.87,ECR,NR,2019/2136(INI),ANRE,INI,MAIN,AFET,AFET
33.17,24.2,DG1-DEPOT,RR,2019/2136(INI),ANRE,INI,MAIN,AFET,AFET
2.16,1.85,ECON,PA,2019/2126(INI),ANRE,INI,AHE,ECON,ECON
37.08,20.47,DG1-DEPOT,RR,2019/2126(INI),ANRE,INI,MHE,BUDG,BUDG
9.88,9.15,BUDG,PR,2019/2126(INI),ANRE,INI,MHE,BUDG,BUDG
51.46,25.62,ECON,AM,2019/2126(INI),ANRE,INI,AHE,ECON,ECON
8.94,6.84,ECON,AD,2019/2126(INI),ANRE,INI,AHE,ECON,ECON
78.72,39.7,BUDG,AM,2019/2126(INI),ANRE,INI,MHE,BUDG,BUDG
8.28,2.67,DG1-DEPOT,RR,2019/2137(BUD),MOFU,BUD,MAIN,BUDG,BUDG
5.89,3.46,BUDG,PR,2019/2137(BUD),MOFU,BUD,MAIN,BUDG,BUDG
1.06,0.9,REGI,AL,2019/2137(BUD),MOFU,BUD,AVI,REGI,REGI
1.44,1.02,BUDG,AM,2019/2137(BUD),MOFU,BUD,MAIN,BUDG,BUDG
4.01,2.47,TRAN,PR,2013/0226(COD),LEG,COD,MAIN,TRAN,TRAN
3.16,2.48,JURI,CM,2019/2150(IMM),IMMU,IMM,MAIN,JURI,JURI
33.35,30.96,JURI,CM,2019/2150(IMM),IMMU,IMM,MAIN,JURI,JURI
33.0,30.72,JURI,CM,2019/2150(IMM),IMMU,IMM,MAIN,JURI,JURI
3.43,2.55,JURI,PR,2019/2150(IMM),IMMU,IMM,MAIN,JURI,JURI
3.76,2.8,DG1-DEPOT,RR,2019/2150(IMM),IMMU,IMM,MAIN,JURI,JURI
26.91,19.43,DG1-DEPOT,RR,2019/2173(INI),ANRE,INI,MAIN,AFET,AFET
8.68,6.38,AFET,PR,2019/2173(INI),ANRE,INI,MAIN,AFET,AFET
82.79,36.24,DG1-DEPOT,RR,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
91.09,77.67,AGRI,AM,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
82.59,23.73,AGRI,AM,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
128.64,113.66,AGRI,AM,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
117.14,37.25,AGRI,AM,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
32.71,20.09,ENVI,AD,2019/2157(INI),INIT,INI,AHE,ENVI,ENVI
8.64,5.91,ITRE,AD,2019/2157(INI),INIT,INI,AVI,ITRE,ITRE
1.58,1.1,ITRE,PA,2019/2157(INI),INIT,INI,AVI,ITRE,ITRE
1.94,1.43,ENVI,PA,2019/2157(INI),INIT,INI,AHE,ENVI,ENVI
121.46,87.06,ENVI,AM,2019/2157(INI),INIT,INI,AHE,ENVI,ENVI
13.58,12.18,AGRI,PR,2019/2157(INI),INIT,INI,MHE,AGRI,AGRI
39.28,37.17,ITRE,AM,2019/2157(INI),INIT,INI,AVI,ITRE,ITRE
18.02,14.79,FEMM,PR,2019/2165(INI),INIT,INI,MAIN,FEMM,FEMM
62.57,28.07,BUDG,AM,2019/2214(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
87.14,25.49,DG1-DEPOT,RR,2019/2214(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
13.18,9.35,BUDG,PR,2019/2214(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
13.86,4.27,DG1-DEPOT,RR,2019/0819(CNS),LEG,CNS,MAIN,LIBE,LIBE
8.3,6.51,LIBE,PR,2019/0819(CNS),LEG,CNS,MAIN,LIBE,LIBE
12.11,7.87,LIBE,PR,2019/0819(CNS),LEG,CNS,MAIN,LIBE,LIBE
11.7,4.15,DG1-DEPOT,RR,2020/0002(NLE),APPE,NLE,MAIN,PECH,PECH
1.21,0.6,ECR,NR,2020/0002(NLE),APPE,NLE,MAIN,PECH,PECH
3.63,1.62,BUDG,AD,2020/0002(NLE),APPE,NLE,AVI,BUDG,BUDG
2.43,1.58,BUDG,PA,2020/0002(NLE),APPE,NLE,AVI,BUDG,BUDG
6.79,5.63,PECH,PR,2020/0002(NLE),APPE,NLE,MAIN,PECH,PECH
2.0,1.24,DEVE,PA,2020/0002(NLE),APPE,NLE,AVI,DEVE,DEVE
0.64,0.37,DEVE,AL,2020/0002(NLE),APPE,NLE,AVI,DEVE,DEVE
0.75,0.4,DEVE,AL,2020/0002(NLE),APPE,NLE,AVI,DEVE,DEVE
2.03,1.54,EMPL,PA,2020/2010(INI),INIT,INI,AHE,EMPL,EMPL
50.07,29.17,EMPL,AM,2020/2010(INI),INIT,INI,AHE,EMPL,EMPL
12.8,10.68,LIBE,PR,2020/2010(INI),INIT,INI,MHE,LIBE,LIBE
44.78,20.29,DG1-DEPOT,RR,2020/2010(INI),INIT,INI,MHE,LIBE,LIBE
1.7,1.57,ECR,NT,2020/2010(INI),INIT,INI,MHE,LIBE,LIBE
19.81,14.24,EMPL,AD,2020/2010(INI),INIT,INI,AHE,EMPL,EMPL
79.77,36.96,LIBE,AM,2020/2010(INI),INIT,INI,MHE,LIBE,LIBE
172.41,66.63,JURI,AM,2020/2014(INL),TRINI,INL,MAIN,JURI,JURI
69.17,37.45,DG1-DEPOT,RR,2020/2014(INL),TRINI,INL,MAIN,JURI,JURI
8.75,6.55,TRAN,AD,2020/2014(INL),TRINI,INL,AVI,TRAN,TRAN
71.57,28.19,JURI,AM,2020/2014(INL),TRINI,INL,MAIN,JURI,JURI
8.52,6.76,IMCO,AD,2020/2014(INL),TRINI,INL,AVI,IMCO,IMCO
23.33,21.49,TRAN,AM,2020/2014(INL),TRINI,INL,AVI,TRAN,TRAN
37.54,33.87,JURI,PR,2020/2014(INL),TRINI,INL,MAIN,JURI,JURI
2.7,2.35,IMCO,PA,2020/2014(INL),TRINI,INL,AVI,IMCO,IMCO
38.46,20.76,IMCO,AM,2020/2014(INL),TRINI,INL,AVI,IMCO,IMCO
2.73,2.41,TRAN,PA,2020/2014(INL),TRINI,INL,AVI,TRAN,TRAN
20.17,8.13,DEVE,AD,2016/0208(COD),LEG,COD,AVI,DEVE,DEVE
148.49,72.7,CJ12,AM,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
54.65,23.68,JURI,AM,2016/0208(COD),LEG,COD,AVI,JURI,JURI
5.7,3.5,INTA,AD,2016/0208(COD),LEG,COD,AVI,INTA,INTA
2.27,1.65,INTA,PA,2016/0208(COD),LEG,COD,AVI,INTA,INTA
104.57,56.02,CJ12,AM,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
6.94,4.7,INTA,AM,2016/0208(COD),LEG,COD,AVI,INTA,INTA
24.51,13.48,CJ12,PR,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
13.82,8.4,DEVE,PA,2016/0208(COD),LEG,COD,AVI,DEVE,DEVE
42.89,15.8,JURI,AD,2016/0208(COD),LEG,COD,AVI,JURI,JURI
14.26,8.43,JURI,PA,2016/0208(COD),LEG,COD,AVI,JURI,JURI
9.58,6.64,JURI,AL,2016/0208(COD),LEG,COD,OLB,JURI,JURI
2.12,1.51,PPE,NR,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
2.14,1.56,PPE,NR,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
71.79,49.79,PRES-LEGACT,PF,2016/0208(COD),LEG,COD,MAIN,ECON,CJ12
33.4,15.08,LIBE,AM,2014/0095(COD),LEG,COD,MAIN,LIBE,LIBE
44.18,28.31,LIBE,PR,2014/0095(COD),LEG,COD,MAIN,LIBE,LIBE
45.36,29.28,LIBE,PR,2014/0095(COD),LEG,COD,MAIN,LIBE,LIBE
7.0,3.54,TRAN,AM,2014/0095(COD),LEG,COD,AVI,TRAN,TRAN
7.96,3.07,TRAN,AD,2014/0095(COD),LEG,COD,AVI,TRAN,TRAN
2.55,1.1,AGRI,PR,2013/0141(COD),LEG,COD,MAIN,AGRI,AGRI
3.6,3.45,PPE,NT,2014/0100(COD),LEG,COD,MAIN,AGRI,AGRI
1.78,1.25,DG1,AM,2014/0100(COD),LEG,COD,MAIN,AGRI,AGRI
7.34,4.67,JURI,AL,2014/0100(COD),LEG,COD,OLB,JURI,JURI
3.04,2.94,ECR,NR,2014/0100(COD),LEG,COD,MAIN,AGRI,AGRI
126.52,79.94,PRES-LEGACT,PF,2013/0314(COD),LEG,COD,MAIN,ECON,ECON
46.72,24.39,DG1-DEPOT,RR,2016/2274(INI),STINI,INI,MHE,IMCO,IMCO
5.58,4.81,TRAN,AD,2016/2274(INI),STINI,INI,AVI,TRAN,TRAN
22.54,11.64,TRAN,AM,2016/2274(INI),STINI,INI,AVI,TRAN,TRAN
58.42,34.09,IMCO,AM,2016/2274(INI),STINI,INI,MHE,IMCO,IMCO
8.75,6.61,ITRE,AD,2016/2274(INI),STINI,INI,AHE,ITRE,ITRE
1.6,1.35,ITRE,PA,2016/2274(INI),STINI,INI,AHE,ITRE,ITRE
31.45,19.5,ITRE,AM,2016/2274(INI),STINI,INI,AHE,ITRE,ITRE
15.18,14.63,IMCO,PR,2016/2274(INI),STINI,INI,MHE,IMCO,IMCO
2.16,1.96,TRAN,PA,2016/2274(INI),STINI,INI,AVI,TRAN,TRAN
2.13,0.91,LIBE,PR,2019/0013(NLE),APPE,NLE,MAIN,LIBE,LIBE
3.76,2.23,DG1-DEPOT,RR,2019/0013(NLE),APPE,NLE,MAIN,LIBE,LIBE
3.9,2.62,DG1-DEPOT,RR,2019/2005(IMM),IMMU,IMM,MAIN,JURI,JURI
3.6,2.31,JURI,PR,2019/2005(IMM),IMMU,IMM,MAIN,JURI,JURI
11.4,10.6,JURI,CM,2019/2005(IMM),IMMU,IMM,MAIN,JURI,JURI
2.61,1.74,TRAN,PR,2019/0044(NLE),APPE,NLE,MAIN,TRAN,TRAN
0.95,0.43,ECR,NR,2019/0044(NLE),APPE,NLE,MAIN,TRAN,TRAN
4.05,1.93,DG1-DEPOT,RR,2019/0044(NLE),APPE,NLE,MAIN,TRAN,TRAN
2.43,0.78,BUDG,PA,2019/0078(NLE),APPE,NLE,AVI,BUDG,BUDG
1.38,0.54,PECH,PR,2019/0078(NLE),APPE,NLE,MAIN,PECH,PECH
2.96,2.73,DEVE,PA,2019/0078(NLE),APPE,NLE,AVI,DEVE,DEVE
4.04,1.62,DEVE,AD,2019/0078(NLE),APPE,NLE,AVI,DEVE,DEVE
3.26,1.16,BUDG,AD,2019/0078(NLE),APPE,NLE,AVI,BUDG,BUDG
1.37,0.75,ECR,NR,2019/0078(NLE),APPE,NLE,MAIN,PECH,PECH
9.56,3.67,DG1-DEPOT,RR,2019/0078(NLE),APPE,NLE,MAIN,PECH,PECH
2.27,1.0,BUDG,PR,2019/2024(BUD),BUD,BUD,MAIN,BUDG,BUDG
37.62,11.66,CULT,AD,2019/0152(COD),LEG,COD,AHE,CULT,CULT
154.67,60.36,DG1-DEPOT,RR,2019/0152(COD),LEG,COD,MHE,ITRE,ITRE
18.11,6.12,ITRE,AM,2019/0152(COD),LEG,COD,MHE,ITRE,ITRE
90.78,51.72,ITRE,PR,2019/0152(COD),LEG,COD,MHE,ITRE,ITRE
174.61,72.58,ITRE,AM,2019/0152(COD),LEG,COD,MHE,ITRE,ITRE
58.18,27.24,CULT,PA,2019/0152(COD),LEG,COD,AHE,CULT,CULT
90.6,34.54,CULT,AM,2019/0152(COD),LEG,COD,AHE,CULT,CULT
7.22,4.76,JURI,AL,2019/0152(COD),LEG,COD,OLB,JURI,JURI
87.27,84.85,ECON,PR,2019/0810(NLE),CNPE,NLE,MAIN,ECON,ECON
1.77,0.97,ECON,PR,2019/0810(NLE),CNPE,NLE,MAIN,ECON,ECON
10.59,5.74,CONT,PR,2019/2103(DEC),DISCH,DEC,MAIN,CONT,CONT
13.69,6.13,DG1-DEPOT,RR,2019/2103(DEC),DISCH,DEC,MAIN,CONT,CONT
9.64,5.35,CONT,AM,2019/2103(DEC),DISCH,DEC,MAIN,CONT,CONT
3.11,2.67,LIBE,PA,2019/2096(DEC),DISCH,DEC,AVI,LIBE,LIBE
14.27,8.31,CONT,PR,2019/2096(DEC),DISCH,DEC,MAIN,CONT,CONT
10.51,4.33,LIBE,AM,2019/2096(DEC),DISCH,DEC,AVI,LIBE,LIBE
5.8,3.37,LIBE,AD,2019/2096(DEC),DISCH,DEC,AVI,LIBE,LIBE
24.52,12.09,DG1-DEPOT,RR,2019/2096(DEC),DISCH,DEC,MAIN,CONT,CONT
44.12,15.45,CONT,AM,2019/2096(DEC),DISCH,DEC,MAIN,CONT,CONT
1.37,0.8,ECON,PA,2019/2091(DEC),DISCH,DEC,AVI,ECON,ECON
8.9,3.53,CONT,PR,2019/2091(DEC),DISCH,DEC,MAIN,CONT,CONT
4.41,2.57,ECON,AD,2019/2091(DEC),DISCH,DEC,AVI,ECON,ECON
15.73,5.98,DG1-DEPOT,RR,2019/2091(DEC),DISCH,DEC,MAIN,CONT,CONT
6.23,3.48,ECON,AM,2019/2091(DEC),DISCH,DEC,AVI,ECON,ECON
3.96,1.72,CONT,AM,2019/2091(DEC),DISCH,DEC,MAIN,CONT,CONT
5.75,1.87,CONT,PR,2019/2087(DEC),DISCH,DEC,MAIN,CONT,CONT
6.49,2.32,DG1-DEPOT,RR,2019/2087(DEC),DISCH,DEC,MAIN,CONT,CONT
1.84,0.79,CONT,AM,2019/2087(DEC),DISCH,DEC,MAIN,CONT,CONT
1.99,1.54,LIBE,PA,2019/2082(DEC),DISCH,DEC,AVI,LIBE,LIBE
9.76,4.6,CONT,PR,2019/2082(DEC),DISCH,DEC,MAIN,CONT,CONT
3.16,1.43,LIBE,AM,2019/2082(DEC),DISCH,DEC,AVI,LIBE,LIBE
3.69,2.07,LIBE,AD,2019/2082(DEC),DISCH,DEC,AVI,LIBE,LIBE
16.53,7.04,DG1-DEPOT,RR,2019/2082(DEC),DISCH,DEC,MAIN,CONT,CONT
10.12,4.57,CONT,AM,2019/2082(DEC),DISCH,DEC,MAIN,CONT,CONT
3.01,2.3,TRAN,PA,2019/2077(DEC),DISCH,DEC,AVI,TRAN,TRAN
5.59,2.45,TRAN,AD,2019/2077(DEC),DISCH,DEC,AVI,TRAN,TRAN
5.32,2.2,CONT,AM,2019/2077(DEC),DISCH,DEC,MAIN,CONT,CONT
20.97,8.71,DG1-DEPOT,RR,2019/2077(DEC),DISCH,DEC,MAIN,CONT,CONT
7.83,3.89,TRAN,AM,2019/2077(DEC),DISCH,DEC,AVI,TRAN,TRAN
1.45,1.11,CULT,PA,2019/2072(DEC),DISCH,DEC,AVI,CULT,CULT
2.69,1.38,CULT,AD,2019/2072(DEC),DISCH,DEC,AVI,CULT,CULT
8.84,3.22,CONT,PR,2019/2072(DEC),DISCH,DEC,MAIN,CONT,CONT
13.64,5.21,DG1-DEPOT,RR,2019/2072(DEC),DISCH,DEC,MAIN,CONT,CONT
4.55,2.04,CONT,AM,2019/2072(DEC),DISCH,DEC,MAIN,CONT,CONT
3.18,1.6,CULT,AM,2019/2072(DEC),DISCH,DEC,AVI,CULT,CULT
1.83,1.39,EMPL,PA,2019/2066(DEC),DISCH,DEC,AVI,EMPL,EMPL
9.58,4.21,CONT,PR,2019/2066(DEC),DISCH,DEC,MAIN,CONT,CONT
5.28,3.23,EMPL,AD,2019/2066(DEC),DISCH,DEC,AVI,EMPL,EMPL
17.99,7.29,DG1-DEPOT,RR,2019/2066(DEC),DISCH,DEC,MAIN,CONT,CONT
8.12,4.93,EMPL,AM,2019/2066(DEC),DISCH,DEC,AVI,EMPL,EMPL
6.19,3.03,CONT,AM,2019/2066(DEC),DISCH,DEC,MAIN,CONT,CONT
5.61,5.04,ECON,PR,2019/2129(INI),ANRE,INI,MAIN,ECON,ECON
97.0,51.42,ECON,AM,2019/2129(INI),ANRE,INI,MAIN,ECON,ECON
14.75,9.48,DG1-DEPOT,RR,2019/2129(INI),ANRE,INI,MAIN,ECON,ECON
1.22,1.06,PPE,NT,2019/2129(INI),ANRE,INI,MAIN,ECON,ECON
72.34,36.18,FEMM,AM,2019/2168(INI),INIT,INI,MAIN,FEMM,FEMM
25.41,15.35,DG1-DEPOT,RR,2019/2168(INI),INIT,INI,MAIN,FEMM,FEMM
12.35,9.64,FEMM,PR,2019/2168(INI),INIT,INI,MAIN,FEMM,FEMM
1.22,0.8,ECR,NR,2019/2168(INI),INIT,INI,MAIN,FEMM,FEMM
1.54,1.19,ITRE,PA,2019/2158(INI),INIT,INI,AVI,ITRE,ITRE
32.39,19.25,ITRE,AM,2019/2158(INI),INIT,INI,AVI,ITRE,ITRE
7.77,7.63,PECH,DT,2019/2158(INI),INIT,INI,MAIN,PECH,PECH
1.35,0.97,ECR,NR,2019/2158(INI),INIT,INI,MAIN,PECH,PECH
10.57,8.43,PECH,PR,2019/2158(INI),INIT,INI,MAIN,PECH,PECH
30.16,16.13,DG1-DEPOT,RR,2019/2158(INI),INIT,INI,MAIN,PECH,PECH
6.91,5.57,ITRE,AD,2019/2158(INI),INIT,INI,AVI,ITRE,ITRE
56.62,28.69,PECH,AM,2019/2158(INI),INIT,INI,MAIN,PECH,PECH
1.82,1.69,ECR,NT,2019/2197(INI),ANRE,INI,MAIN,INTA,INTA
129.27,106.18,INTA,AM,2019/2197(INI),ANRE,INI,MAIN,INTA,INTA
44.52,28.04,DG1-DEPOT,RR,2019/2197(INI),ANRE,INI,MAIN,INTA,INTA
7.74,6.05,DEVE,AD,2019/2197(INI),ANRE,INI,AVI,DEVE,DEVE
1.26,1.05,PPE,DV,2019/2197(INI),ANRE,INI,MAIN,INTA,INTA
29.55,25.71,DEVE,AM,2019/2197(INI),ANRE,INI,AVI,DEVE,DEVE
11.23,10.06,INTA,PR,2019/2197(INI),ANRE,INI,MAIN,INTA,INTA
1.38,1.04,DEVE,PA,2019/2197(INI),ANRE,INI,AVI,DEVE,DEVE
6.98,5.31,PETI,AD,2019/2188(INI),INIT,INI,AVI,PETI,PETI
21.21,18.21,PETI,AM,2019/2188(INI),INIT,INI,AVI,PETI,PETI
11.27,9.85,EMPL,PR,2019/2188(INI),INIT,INI,MAIN,EMPL,EMPL
76.93,39.77,EMPL,AM,2019/2188(INI),INIT,INI,MAIN,EMPL,EMPL
109.71,56.28,EMPL,AM,2019/2188(INI),INIT,INI,MAIN,EMPL,EMPL
9.24,6.52,FEMM,AD,2019/2188(INI),INIT,INI,AVI,FEMM,FEMM
42.04,39.7,FEMM,AM,2019/2188(INI),INIT,INI,AVI,FEMM,FEMM
1.68,1.38,PETI,PA,2019/2188(INI),INIT,INI,AVI,PETI,PETI
1.64,1.36,FEMM,PA,2019/2188(INI),INIT,INI,AVI,FEMM,FEMM
64.67,38.67,DG1-DEPOT,RR,2019/2188(INI),INIT,INI,MAIN,EMPL,EMPL
3.08,2.72,FEMM,AL,2019/2206(INI),IMPL,INI,AVI,FEMM,FEMM
121.27,107.98,LIBE,AM,2019/2206(INI),IMPL,INI,MAIN,LIBE,LIBE
45.19,24.74,DG1-DEPOT,RR,2019/2206(INI),IMPL,INI,MAIN,LIBE,LIBE
23.57,20.32,LIBE,PR,2019/2206(INI),IMPL,INI,MAIN,LIBE,LIBE
1.54,0.88,ECON,PR,2020/0901(NLE),CNPE,NLE,MAIN,ECON,ECON
2.37,1.43,DG1-DEPOT,RR,2020/0901(NLE),CNPE,NLE,MAIN,ECON,ECON
3.14,1.72,DG1-DEPOT,RR,2020/0902(NLE),CNPE,NLE,MAIN,ECON,ECON
2.49,1.2,ECON,PR,2020/0902(NLE),CNPE,NLE,MAIN,ECON,ECON
3.15,1.73,DG1-DEPOT,RR,2020/0903(NLE),CNPE,NLE,MAIN,ECON,ECON
2.48,1.17,ECON,PR,2020/0903(NLE),CNPE,NLE,MAIN,ECON,ECON
4.42,2.66,DG1-DEPOT,RR,2015/0138(NLE),APPE,NLE,MAIN,AFET,AFET
2.8,1.53,AFET,PR,2015/0138(NLE),APPE,NLE,MAIN,AFET,AFET
1.19,0.9,JURI,PA,2015/0134(COD),LEG,COD,AVI,JURI,JURI
1.54,0.95,JURI,AM,2015/0134(COD),LEG,COD,AVI,JURI,JURI
