"ID","DOC_TYPE","PROC_TYPE","DOSSIER_TYPE","GROSS_SPA","NET_SPA"
1144684,"AD","INI","INTA",4.7,2.98
1141952,"PA","INI","INTA",4.55,3.48
1139220,"PR","INI","AFET",7.79,7.05
1153941,"NT","INI","AFET",1.39,1.19
1154199,"RR","INI","AFET",33.15,24.41
1150434,"AM","INI","AFET",137.81,65.79
1146966,"PR","INI","AFET",10.38,9.19
1153783,"NR","INI","PECH",1.17,1.03
1154247,"RR","INI","PECH",15.71,9.21
1152648,"NT","INI","PECH",1.72,1.54
1147141,"AM","INI","PECH",37.11,23.67
1147530,"AM","INI","PECH",37.12,22.63
1142349,"PR","INI","PECH",8.1,7.04
1151650,"AD","INL","EMPL",11.87,9.36
1157414,"RR","INL","JURI",42.76,19.44
1147784,"AM","INL","EMPL",31.91,21.74
1137465,"PR","INL","JURI",17.21,15.38
1143377,"AM","INL","JURI",88.5,40.07
1140690,"PA","INL","EMPL",1.54,1.29
1126612,"PA","COD","ENVI",4.65,2.83
1130813,"AM","COD","ENVI",75.35,31.44
1124029,"AM","COD","JURI",34.13,14.36
1127158,"AM","COD","JURI",32.53,12.55
