GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
36.14,9.42,9.42,TRAN,6,19-DEC-18,632.703,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.93,9.43,9.43,TRAN,2,08-JAN-19,632.799,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.7,9.42,9.42,TRAN,2,08-JAN-19,632.801,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.74,9.34,9.34,TRAN,2,08-JAN-19,632.8,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
8.24,2.74,2.74,DG1-DEPOT,2,10-JUN-20,650.436,RR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
22.7,10.02,13.89,TRAN,2,13-MAY-20,650.725,AM,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
6.68,4.06,4.24,TRAN,1,17-APR-20,650.436,PR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
71.76,24.24,24.24,DG1-DEPOT,3,19-JUL-18,619.311,RR,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
44.27,17.42,17.42,ENVI,2,13-APR-18,620.905,AM,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
27.05,11.23,11.23,ENVI,3,22-FEB-18,618.208,AD,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
109.38,51.32,51.32,TRAN,3,18-MAY-18,622.152,AM,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
30.55,20.0,19.78,ENVI,5,22-FEB-18,618.208,PA,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
3.18,2.7,2.84,JURI,3,25-JAN-18,616.73,NP,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
33.22,20.73,20.73,TRAN,6,21-MAR-18,619.311,PR,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
3.44,2.44,2.6,JURI,2,29-AUG-17,609.367,NP,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
90.25,33.09,33.09,DG1-DEPOT,4,21-DEC-17,615.363,RR,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
32.73,10.81,10.26,ENVI,3,15-DEC-17,613.289,AD,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
25.67,12.06,13.26,ENVI,5,15-DEC-17,613.289,PA,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
88.79,38.77,38.78,ENVI,7,06-FEB-18,618.02,AM,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
0.55,0.32,0.7,TRAN,1,23-FEB-18,618.188,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
44.32,28.49,28.61,TRAN,4,19-DEC-17,615.363,PR,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
1.06,0.47,0.5,ENVI,1,06-FEB-18,618.021,AM,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
10.81,6.48,6.48,TRAN,2,27-OCT-17,612.367,DT,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
80.57,39.01,39.01,TRAN,4,23-FEB-18,618.222,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
114.4,49.49,49.5,TRAN,8,23-FEB-18,615.519,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
5.28,3.23,3.23,TRAN,1,16-NOV-21,700.379,PR,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
11.88,5.21,5.21,TRAN,2,14-DEC-21,700.698,AM,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
6.96,2.57,2.57,DG1-DEPOT,1,14-JAN-22,700.379,RR,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
23.0,14.64,14.64,TRAN,4,15-JUN-18,623.746,PR,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
4.11,2.4,2.58,JURI,3,22-JAN-18,616.552,NP,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
38.49,15.57,15.57,DG1-DEPOT,2,28-JAN-19,623.746,RR,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
80.96,38.65,38.62,TRAN,12,04-OCT-18,628.553,AM,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
76.19,36.17,35.12,TRAN,12,04-OCT-18,628.473,AM,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
12.47,5.69,5.69,DG1-DEPOT,3,29-MAY-18,615.479,RR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
33.1,17.19,17.19,TRAN,5,23-FEB-18,615.518,AM,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
11.92,8.56,8.56,TRAN,4,20-DEC-17,615.479,PR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
