GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
12.75,10.31,10.31,CONT,4,17-DEC-18,626.815,PR,2018/2210(DEC),DISCH,DEC,MAIN,CONT,CONT
1.37,0.89,0.89,EMPL,1,14-NOV-18,629.765,PA,2018/2210(DEC),DISCH,DEC,AVI,EMPL,EMPL
14.4,6.75,6.76,CONT,3,31-JAN-19,634.521,AM,2018/2210(DEC),DISCH,DEC,MAIN,CONT,CONT
8.85,3.67,3.67,LIBE,2,06-DEC-18,631.959,AM,2018/2210(DEC),DISCH,DEC,AVI,LIBE,LIBE
24.76,9.65,9.65,DG1-DEPOT,2,01-MAR-19,626.815,RR,2018/2210(DEC),DISCH,DEC,MAIN,CONT,CONT
7.63,3.62,3.62,CONT,1,17-DEC-18,626.791,PR,2018/2191(DEC),DISCH,DEC,MAIN,CONT,CONT
2.05,1.37,1.39,CONT,2,31-JAN-19,634.468,AM,2018/2191(DEC),DISCH,DEC,MAIN,CONT,CONT
2.13,1.44,1.44,ENVI,1,14-NOV-18,627.699,PA,2018/2191(DEC),DISCH,DEC,AVI,ENVI,ENVI
3.37,1.64,1.64,ENVI,2,14-NOV-18,627.699,AD,2018/2191(DEC),DISCH,DEC,AVI,ENVI,ENVI
1.86,0.83,0.85,ENVI,1,12-DEC-18,630.566,AM,2018/2191(DEC),DISCH,DEC,AVI,ENVI,ENVI
12.35,4.02,4.02,DG1-DEPOT,1,01-MAR-19,626.791,RR,2018/2191(DEC),DISCH,DEC,MAIN,CONT,CONT
14.69,5.09,5.09,DG1-DEPOT,1,01-MAR-19,626.795,RR,2018/2190(DEC),DISCH,DEC,MAIN,CONT,CONT
2.16,1.44,1.44,ENVI,1,14-NOV-18,627.683,PA,2018/2190(DEC),DISCH,DEC,AVI,ENVI,ENVI
3.66,2.15,2.15,CONT,2,31-JAN-19,634.472,AM,2018/2190(DEC),DISCH,DEC,MAIN,CONT,CONT
4.04,2.14,2.14,ENVI,2,14-NOV-18,627.683,AD,2018/2190(DEC),DISCH,DEC,AVI,ENVI,ENVI
8.28,4.55,4.55,CONT,1,10-DEC-18,626.795,PR,2018/2190(DEC),DISCH,DEC,MAIN,CONT,CONT
4.7,3.21,3.21,ENVI,1,12-DEC-18,630.561,AM,2018/2190(DEC),DISCH,DEC,AVI,ENVI,ENVI
12.92,4.1,4.1,DG1-DEPOT,1,01-MAR-19,626.805,RR,2018/2187(DEC),DISCH,DEC,MAIN,CONT,CONT
3.65,2.01,2.01,EMPL,2,14-NOV-18,629.764,AD,2018/2187(DEC),DISCH,DEC,AVI,EMPL,EMPL
1.42,0.93,0.93,EMPL,1,14-NOV-18,629.764,PA,2018/2187(DEC),DISCH,DEC,AVI,EMPL,EMPL
1.7,0.9,0.92,CONT,2,31-JAN-19,634.511,AM,2018/2187(DEC),DISCH,DEC,MAIN,CONT,CONT
7.02,3.49,3.49,CONT,1,10-DEC-18,626.805,PR,2018/2187(DEC),DISCH,DEC,MAIN,CONT,CONT
2.21,1.66,1.66,EMPL,1,11-DEC-18,631.774,AM,2018/2187(DEC),DISCH,DEC,AVI,EMPL,EMPL
12.6,4.39,4.39,DG1-DEPOT,1,01-MAR-19,626.793,RR,2018/2182(DEC),DISCH,DEC,MAIN,CONT,CONT
8.6,5.17,5.17,CONT,1,17-DEC-18,626.793,PR,2018/2182(DEC),DISCH,DEC,MAIN,CONT,CONT
2.34,0.99,1.0,CONT,2,31-JAN-19,634.47,AM,2018/2182(DEC),DISCH,DEC,MAIN,CONT,CONT
1.66,1.25,1.25,ENVI,1,14-NOV-18,627.702,PA,2018/2182(DEC),DISCH,DEC,AVI,ENVI,ENVI
2.97,1.63,1.63,ENVI,2,14-NOV-18,627.702,AD,2018/2182(DEC),DISCH,DEC,AVI,ENVI,ENVI
1.55,0.78,0.78,ENVI,1,12-DEC-18,630.562,AM,2018/2182(DEC),DISCH,DEC,AVI,ENVI,ENVI
5.28,2.3,2.3,ENVI,2,14-NOV-18,627.81,AD,2018/2198(DEC),DISCH,DEC,AVI,ENVI,ENVI
3.35,2.07,2.07,ENVI,1,14-NOV-18,627.81,PA,2018/2198(DEC),DISCH,DEC,AVI,ENVI,ENVI
4.62,2.44,2.44,CONT,2,31-JAN-19,634.469,AM,2018/2198(DEC),DISCH,DEC,MAIN,CONT,CONT
8.89,5.03,5.03,CONT,1,10-DEC-18,626.792,PR,2018/2198(DEC),DISCH,DEC,MAIN,CONT,CONT
2.77,1.55,1.55,ENVI,1,12-DEC-18,630.563,AM,2018/2198(DEC),DISCH,DEC,AVI,ENVI,ENVI
16.54,5.21,5.21,DG1-DEPOT,1,01-MAR-19,626.792,RR,2018/2198(DEC),DISCH,DEC,MAIN,CONT,CONT
3.36,1.84,1.84,LIBE,1,19-NOV-18,630.605,AD,2018/2175(DEC),DISCH,DEC,AVI,LIBE,LIBE
1.91,1.39,1.39,LIBE,1,19-NOV-18,630.605,PA,2018/2175(DEC),DISCH,DEC,AVI,LIBE,LIBE
6.76,4.66,4.66,CONT,1,13-DEC-18,626.824,PR,2018/2175(DEC),DISCH,DEC,MAIN,CONT,CONT
3.23,1.06,1.08,CONT,1,30-JAN-19,634.537,AM,2018/2175(DEC),DISCH,DEC,MAIN,CONT,CONT
3.63,1.41,1.41,LIBE,2,06-DEC-18,631.957,AM,2018/2175(DEC),DISCH,DEC,AVI,LIBE,LIBE
11.28,4.73,4.73,DG1-DEPOT,1,28-FEB-19,626.824,RR,2018/2175(DEC),DISCH,DEC,MAIN,CONT,CONT
58.24,30.17,30.17,BUDG,3,15-FEB-19,636.025,AM,2019/2001(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
15.42,11.01,11.68,DG1-DEPOT,1,08-MAR-19,633.044,RR,2019/2001(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
2.06,1.79,1.79,ECR,1,24-JAN-19,633.044,NT,2019/2001(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
5.53,4.49,4.73,BUDG,1,24-JAN-19,633.044,PR,2019/2001(BUD),PREBUD,BUD,MAIN,BUDG,BUDG
27.07,11.99,0.0,CULT,2,08-JUL-16,584.016,AM,2015/0278(COD),LEG,COD,AVI,CULT,CULT
26.7,12.14,0.0,CULT,1,08-JUL-16,584.016,AM,2015/0278(COD),LEG,COD,AVI,CULT,CULT
27.13,11.87,0.0,CULT,2,08-JUL-16,584.016,AM,2015/0278(COD),LEG,COD,AVI,CULT,CULT
78.66,36.56,0.0,PETI,6,18-NOV-16,593.823,AM,2015/0278(COD),LEG,COD,AVI,PETI,PETI
8.37,7.05,0.0,CULT,3,25-MAY-16,582.315,PA,2015/0278(COD),LEG,COD,AVI,CULT,CULT
53.35,16.25,21.24,TRAN,1,03-JAN-17,595.734,AD,2015/0278(COD),LEG,COD,AHE,TRAN,TRAN
373.66,118.5,118.5,DG1-DEPOT,2,08-MAY-17,597.391,RR,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
1.95,1.73,1.73,PPE,1,06-JAN-17,597.391,NT,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
9.78,5.79,0.0,FEMM,2,28-OCT-16,592.148,PA,2015/0278(COD),LEG,COD,AVI,FEMM,FEMM
29.61,9.19,0.0,FEMM,1,23-MAR-17,592.148,AD,2015/0278(COD),LEG,COD,AVI,FEMM,FEMM
88.75,31.85,0.0,EMPL,2,26-APR-17,594.023,AD,2015/0278(COD),LEG,COD,AHE,EMPL,EMPL
92.47,59.95,0.0,IMCO,5,24-JAN-17,597.391,PR,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
131.13,59.4,0.0,IMCO,6,03-MAR-17,599.675,AM,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
71.77,45.74,0.0,EMPL,3,02-DEC-16,594.023,PA,2015/0278(COD),LEG,COD,AHE,EMPL,EMPL
54.14,24.72,0.0,FEMM,4,28-NOV-16,593.99,AM,2015/0278(COD),LEG,COD,AVI,FEMM,FEMM
126.5,52.24,0.0,EMPL,5,06-FEB-17,595.575,AM,2015/0278(COD),LEG,COD,AHE,EMPL,EMPL
13.67,8.64,0.0,TRAN,2,20-JAN-17,595.734,PA,2015/0278(COD),LEG,COD,AHE,TRAN,TRAN
67.61,45.07,0.0,PETI,3,18-OCT-16,583.968,PA,2015/0278(COD),LEG,COD,AVI,PETI,PETI
130.67,61.6,0.0,TRAN,10,01-MAR-17,599.676,AM,2015/0278(COD),LEG,COD,AHE,TRAN,TRAN
80.01,24.54,0.0,PETI,7,24-FEB-17,583.968,AD,2015/0278(COD),LEG,COD,AVI,PETI,PETI
121.16,50.22,0.0,IMCO,4,10-APR-17,599.726,AM,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
131.84,36.73,0.0,IMCO,12,10-APR-17,599.726,AM,2015/0278(COD),LEG,COD,MHE,IMCO,IMCO
12.98,5.55,0.0,CULT,1,24-AUG-16,582.315,AD,2015/0278(COD),LEG,COD,AVI,CULT,CULT
24.69,13.5,0.0,IMCO,2,08-FEB-17,597.612,PA,2016/0284(COD),LEG,COD,AVI,IMCO,IMCO
19.53,9.1,9.1,CULT,1,07-FEB-17,595.592,AD,2016/0284(COD),LEG,COD,AHE,CULT,CULT
26.53,10.64,10.64,ITRE,1,22-MAR-17,597.748,AD,2016/0284(COD),LEG,COD,AVI,ITRE,ITRE
103.06,38.62,38.63,ITRE,4,03-MAY-17,604.61,AM,2016/0284(COD),LEG,COD,AVI,ITRE,ITRE
17.31,7.43,7.43,IMCO,1,24-JAN-17,597.612,AD,2016/0284(COD),LEG,COD,AVI,IMCO,IMCO
16.08,8.14,0.0,CULT,2,21-FEB-17,595.592,PA,2016/0284(COD),LEG,COD,AHE,CULT,CULT
64.14,26.01,0.0,IMCO,4,08-MAR-17,599.76,AM,2016/0284(COD),LEG,COD,AVI,IMCO,IMCO
12.0,5.25,0.0,ITRE,2,05-APR-17,597.748,PA,2016/0284(COD),LEG,COD,AVI,ITRE,ITRE
145.82,57.94,0.0,CULT,5,06-APR-17,599.845,AM,2016/0284(COD),LEG,COD,AHE,CULT,CULT
12.97,8.94,8.94,JURI,3,24-JAN-19,634.499,AL,2016/0284(COD),LEG,COD,OLB,JURI,JURI
17.21,6.63,6.63,IMCO,1,31-MAY-17,605.925,AD,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
33.53,18.34,18.34,IMCO,3,29-JUN-17,607.826,AM,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
9.48,5.39,5.39,IMCO,1,31-MAY-17,605.925,PA,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
41.05,24.85,24.85,INTA,4,13-SEP-17,609.474,PR,2012/0060(COD),LEG,COD,MHE,INTA,INTA
51.32,24.71,24.72,INTA,3,22-MAR-18,619.337,AM,2012/0060(COD),LEG,COD,MHE,INTA,INTA
26.35,12.22,12.22,IMCO,1,14-JUL-21,695.252,AD,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
20.47,11.61,11.61,IMCO,3,14-JUL-21,695.252,PA,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
65.27,30.56,29.86,IMCO,4,09-SEP-21,696.446,AM,2012/0060(COD),LEG,COD,AHE,IMCO,IMCO
3.11,2.83,2.83,JURI,1,15-OCT-21,697.64,AL,2012/0060(COD),LEG,COD,AVI,JURI,JURI
50.85,30.73,31.09,INTA,8,27-JUL-21,695.192,PR,2012/0060(COD),LEG,COD,MHE,INTA,INTA
96.55,38.16,38.16,INTA,4,18-OCT-21,699.065,AM,2012/0060(COD),LEG,COD,MHE,INTA,INTA
104.01,40.34,40.34,INTA,3,18-OCT-21,699.064,AM,2012/0060(COD),LEG,COD,MHE,INTA,INTA
85.42,28.18,28.18,DG1-DEPOT,1,06-DEC-21,695.192,RR,2012/0060(COD),LEG,COD,MHE,INTA,INTA
7.71,7.23,7.23,PPE,1,27-JUL-21,695.192,NT,2012/0060(COD),LEG,COD,MHE,INTA,INTA
2.73,2.58,0.0,DEVE,2,06-JAN-16,544.47,PA,2014/0267(NLE),APPE,NLE,AVI,DEVE,DEVE
1.34,0.62,0.0,DEVE,1,10-MAR-16,577.065,AM,2014/0267(NLE),APPE,NLE,AVI,DEVE,DEVE
2.86,1.85,0.2,ECON,1,23-JAN-19,632.965,RE,2018/3003(DEA),DEAEX,DEA,MAIN,ECON,ECON
1.4,1.13,0.0,EMPL,1,05-OCT-16,589.359,QO,2016/2799(RSP),RESQ,RSP,MAIN,EMPL,EMPL
39.37,21.46,0.0,EMPL,3,04-NOV-16,592.292,AM,2016/2799(RSP),RESQ,RSP,MAIN,EMPL,EMPL
3.6,2.91,0.0,EMPL,1,05-OCT-16,589.351,RE,2016/2799(RSP),RESQ,RSP,MAIN,EMPL,EMPL
69.81,45.44,45.44,EMPL,4,26-JAN-18,616.788,AM,2018/2532(RSP),RESQ,RSP,MAIN,EMPL,EMPL
1.71,1.52,1.52,ECR,1,14-APR-20,650.444,NR,2019/2520(RPS),COMSC,RPS,MAIN,ENVI,ENVI
4.2,2.46,2.46,CULT,3,05-FEB-19,634.693,PR,2019/0030(COD),LEG,COD,MAIN,CULT,CULT
5.03,1.59,1.59,DG1-DEPOT,2,21-FEB-19,634.693,RR,2019/0030(COD),LEG,COD,MAIN,CULT,CULT
1.44,1.31,1.31,ECR,2,08-FEB-19,634.77,NT,2019/2551(RSP),RESC,RSP,MAIN,ENVI,ENVI
7.1,2.99,3.14,DG1-DEPOT,1,29-JAN-20,643.227,RR,2019/0043(NLE),APPE,NLE,MAIN,LIBE,LIBE
5.35,3.68,3.68,LIBE,4,01-APR-19,636.237,PR,2019/0043(NLE),APPE,NLE,MAIN,LIBE,LIBE
5.65,2.05,1.97,LIBE,3,09-DEC-19,643.227,PR,2019/0043(NLE),APPE,NLE,MAIN,LIBE,LIBE
0.53,0.23,0.5,LIBE,1,22-JAN-20,646.874,AM,2019/0043(NLE),APPE,NLE,MAIN,LIBE,LIBE
20.43,6.88,7.77,DG1-DEPOT,1,20-MAR-19,636.349,RR,2019/0803(NLE),CNPE,NLE,MAIN,CONT,CONT
19.98,17.85,17.85,CONT,2,20-MAR-19,636.349,PR,2019/0803(NLE),CNPE,NLE,MAIN,CONT,CONT
7.33,2.35,2.35,DG1-DEPOT,3,25-NOV-19,640.619,RR,2019/2027(BUD),MOFU,BUD,MAIN,BUDG,BUDG
6.38,3.61,3.74,BUDG,1,07-OCT-19,640.619,PR,2019/2027(BUD),MOFU,BUD,MAIN,BUDG,BUDG
9.57,7.58,7.58,CONT,1,11-DEC-19,639.833,PR,2019/2062(DEC),DISCH,DEC,MAIN,CONT,CONT
12.73,6.22,6.22,DG1-DEPOT,2,28-FEB-20,639.833,RR,2019/2062(DEC),DISCH,DEC,MAIN,CONT,CONT
11.65,4.84,4.84,CONT,2,29-JAN-20,645.095,AM,2019/2062(DEC),DISCH,DEC,MAIN,CONT,CONT
10.41,5.8,5.8,CONT,1,10-SEP-20,657.305,AM,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
1.15,0.98,0.98,PPE,1,06-JUL-20,653.766,NT,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
10.91,5.03,5.03,DG1-DEPOT,1,12-OCT-20,653.766,RR,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
6.65,4.7,5.86,CONT,2,06-JUL-20,653.766,PR,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
14.08,12.06,12.06,CONT,2,11-DEC-19,639.831,PR,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
26.02,14.04,14.04,DG1-DEPOT,3,27-FEB-20,639.831,RR,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
31.75,15.99,17.12,CONT,4,05-FEB-20,645.093,AM,2019/2060(DEC),DISCH,DEC,MAIN,CONT,CONT
7.47,4.33,4.33,JURI,2,12-NOV-19,643.176,AM,2019/2058(DEC),DISCH,DEC,AVI,JURI,JURI
2.64,2.31,2.65,JURI,1,10-OCT-19,642.851,PA,2019/2058(DEC),DISCH,DEC,AVI,JURI,JURI
12.97,10.85,10.85,CONT,2,12-DEC-19,639.829,PR,2019/2058(DEC),DISCH,DEC,MAIN,CONT,CONT
22.33,9.41,10.61,DG1-DEPOT,3,10-MAR-20,639.829,RR,2019/2058(DEC),DISCH,DEC,MAIN,CONT,CONT
4.68,2.85,2.85,JURI,1,10-OCT-19,642.851,AD,2019/2058(DEC),DISCH,DEC,AVI,JURI,JURI
11.76,4.71,4.73,CONT,2,29-JAN-20,645.091,AM,2019/2058(DEC),DISCH,DEC,MAIN,CONT,CONT
37.09,28.34,28.57,CONT,2,16-DEC-19,639.954,PR,2019/2056(DEC),DISCH,DEC,MAIN,CONT,CONT
54.24,23.25,23.25,DG1-DEPOT,4,25-FEB-20,639.954,RR,2019/2056(DEC),DISCH,DEC,MAIN,CONT,CONT
99.69,34.09,0.5,CONT,2,31-JAN-20,646.99,AM,2019/2056(DEC),DISCH,DEC,MAIN,CONT,CONT
101.01,46.94,46.94,CONT,4,31-JAN-20,646.99,AM,2019/2056(DEC),DISCH,DEC,MAIN,CONT,CONT
10.06,5.02,5.02,CONT,1,16-DEC-19,639.844,PR,2019/2106(DEC),DISCH,DEC,MAIN,CONT,CONT
12.36,5.2,5.2,DG1-DEPOT,2,02-MAR-20,639.844,RR,2019/2106(DEC),DISCH,DEC,MAIN,CONT,CONT
3.69,1.96,1.96,CONT,3,30-JAN-20,645.083,AM,2019/2106(DEC),DISCH,DEC,MAIN,CONT,CONT
3.56,2.96,2.96,TRAN,1,05-NOV-19,642.924,PA,2019/2101(DEC),DISCH,DEC,AVI,TRAN,TRAN
5.53,2.22,2.22,TRAN,2,05-NOV-19,642.924,AD,2019/2101(DEC),DISCH,DEC,AVI,TRAN,TRAN
9.65,4.62,4.78,CONT,1,13-DEC-19,639.839,PR,2019/2101(DEC),DISCH,DEC,MAIN,CONT,CONT
20.24,7.54,7.54,DG1-DEPOT,2,02-MAR-20,639.839,RR,2019/2101(DEC),DISCH,DEC,MAIN,CONT,CONT
2.62,1.61,1.61,TRAN,1,13-DEC-19,644.965,AM,2019/2101(DEC),DISCH,DEC,AVI,TRAN,TRAN
3.92,2.14,2.14,CONT,2,30-JAN-20,645.082,AM,2019/2101(DEC),DISCH,DEC,MAIN,CONT,CONT
11.53,7.07,7.07,CONT,2,05-DEC-19,639.871,PR,2019/2095(DEC),DISCH,DEC,MAIN,CONT,CONT
13.53,5.05,5.05,DG1-DEPOT,2,02-MAR-20,639.871,RR,2019/2095(DEC),DISCH,DEC,MAIN,CONT,CONT
6.13,2.85,2.85,CONT,2,31-JAN-20,646.998,AM,2019/2095(DEC),DISCH,DEC,MAIN,CONT,CONT
1.37,0.94,0.93,ECON,1,11-NOV-19,643.104,PA,2019/2090(DEC),DISCH,DEC,AVI,ECON,ECON
9.61,4.4,4.4,CONT,2,05-DEC-19,639.863,PR,2019/2090(DEC),DISCH,DEC,MAIN,CONT,CONT
5.62,3.08,3.08,ECON,1,11-NOV-19,643.104,AD,2019/2090(DEC),DISCH,DEC,AVI,ECON,ECON
20.54,8.04,8.03,DG1-DEPOT,2,26-FEB-20,639.863,RR,2019/2090(DEC),DISCH,DEC,MAIN,CONT,CONT
7.99,5.33,5.33,ECON,1,05-DEC-19,644.878,AM,2019/2090(DEC),DISCH,DEC,AVI,ECON,ECON
8.94,4.08,4.08,CONT,3,31-JAN-20,644.975,AM,2019/2090(DEC),DISCH,DEC,MAIN,CONT,CONT
1.84,1.61,1.61,PECH,1,16-OCT-19,642.908,PA,2019/2085(DEC),DISCH,DEC,AVI,PECH,PECH
4.33,2.24,2.23,PECH,1,14-NOV-19,643.199,AM,2019/2085(DEC),DISCH,DEC,AVI,PECH,PECH
3.91,2.38,2.38,PECH,1,16-OCT-19,642.908,AD,2019/2085(DEC),DISCH,DEC,AVI,PECH,PECH
8.17,3.18,3.18,CONT,2,05-DEC-19,639.865,PR,2019/2085(DEC),DISCH,DEC,MAIN,CONT,CONT
14.52,5.05,5.05,DG1-DEPOT,3,02-MAR-20,639.865,RR,2019/2085(DEC),DISCH,DEC,MAIN,CONT,CONT
3.25,1.55,1.56,CONT,1,31-JAN-20,646.78,AM,2019/2085(DEC),DISCH,DEC,MAIN,CONT,CONT
1.96,1.2,1.2,ENVI,1,11-NOV-19,641.164,PA,2019/2079(DEC),DISCH,DEC,AVI,ENVI,ENVI
4.21,2.34,2.34,ENVI,1,11-NOV-19,641.164,AD,2019/2079(DEC),DISCH,DEC,AVI,ENVI,ENVI
10.18,5.26,5.26,CONT,1,13-DEC-19,639.915,PR,2019/2079(DEC),DISCH,DEC,MAIN,CONT,CONT
2.6,1.17,1.17,ENVI,1,10-DEC-19,641.165,AM,2019/2079(DEC),DISCH,DEC,AVI,ENVI,ENVI
2.76,1.2,1.21,CONT,2,31-JAN-20,644.978,AM,2019/2079(DEC),DISCH,DEC,MAIN,CONT,CONT
16.32,6.15,6.15,DG1-DEPOT,2,26-FEB-20,639.915,RR,2019/2079(DEC),DISCH,DEC,MAIN,CONT,CONT
2.02,1.27,1.27,ENVI,1,11-NOV-19,641.162,PA,2019/2073(DEC),DISCH,DEC,AVI,ENVI,ENVI
4.85,3.02,3.02,ENVI,1,11-NOV-19,641.162,AD,2019/2073(DEC),DISCH,DEC,AVI,ENVI,ENVI
11.27,5.81,5.81,CONT,3,05-DEC-19,639.917,PR,2019/2073(DEC),DISCH,DEC,MAIN,CONT,CONT
3.24,1.37,1.38,ENVI,1,10-DEC-19,641.163,AM,2019/2073(DEC),DISCH,DEC,AVI,ENVI,ENVI
13.24,5.58,5.6,CONT,2,31-JAN-20,644.998,AM,2019/2073(DEC),DISCH,DEC,MAIN,CONT,CONT
20.85,8.36,8.82,DG1-DEPOT,3,03-MAR-20,639.917,RR,2019/2073(DEC),DISCH,DEC,MAIN,CONT,CONT
2.04,1.68,1.68,LIBE,1,26-NOV-19,643.087,PA,2019/2068(DEC),DISCH,DEC,AVI,LIBE,LIBE
8.98,4.34,4.34,CONT,3,06-DEC-19,639.879,PR,2019/2068(DEC),DISCH,DEC,MAIN,CONT,CONT
5.97,2.99,2.99,LIBE,8,11-DEC-19,644.913,AM,2019/2068(DEC),DISCH,DEC,AVI,LIBE,LIBE
9.88,4.12,4.14,CONT,3,31-JAN-20,645.055,AM,2019/2068(DEC),DISCH,DEC,MAIN,CONT,CONT
17.23,7.08,7.08,DG1-DEPOT,3,21-FEB-20,639.879,RR,2019/2068(DEC),DISCH,DEC,MAIN,CONT,CONT
4.58,2.78,3.19,LIBE,1,26-NOV-19,643.087,AD,2019/2068(DEC),DISCH,DEC,AVI,LIBE,LIBE
94.84,40.37,40.44,ECON,4,19-MAY-20,652.297,AM,2019/0161(COD),LEG,COD,MHE,ECON,ECON
33.84,13.97,13.97,BUDG,1,03-APR-20,648.646,AM,2019/0161(COD),LEG,COD,AHE,BUDG,BUDG
3.77,1.63,1.63,BUDG,2,04-MAR-20,648.462,PA,2019/0161(COD),LEG,COD,AHE,BUDG,BUDG
14.02,6.8,6.8,BUDG,1,04-MAR-20,648.462,AD,2019/0161(COD),LEG,COD,AHE,BUDG,BUDG
16.94,9.07,9.07,ECON,2,16-APR-20,648.522,PR,2019/0161(COD),LEG,COD,MHE,ECON,ECON
1.4,0.69,0.69,ENVI,2,16-OCT-19,641.133,QO,2019/2805(RSP),RESQ,RSP,MAIN,ENVI,ENVI
5.82,2.14,3.0,ENVI,1,08-NOV-19,642.925,RE,2019/2805(RSP),RESQ,RSP,MAIN,ENVI,ENVI
34.04,18.34,18.34,ENVI,3,12-DEC-19,644.955,AM,2019/2805(RSP),RESQ,RSP,MAIN,ENVI,ENVI
1.22,1.05,1.05,ECR,1,18-DEC-19,644.984,NT,2019/0188(COD),LEG,COD,MAIN,EMPL,EMPL
13.46,7.04,7.04,DG1-DEPOT,3,29-JUN-20,644.984,RR,2019/0188(COD),LEG,COD,MAIN,EMPL,EMPL
8.03,3.93,3.89,EMPL,2,18-DEC-19,644.984,PR,2019/0188(COD),LEG,COD,MAIN,EMPL,EMPL
28.53,14.16,14.16,EMPL,2,03-FEB-20,646.959,AM,2019/0188(COD),LEG,COD,MAIN,EMPL,EMPL
9.0,5.05,5.44,EMPL,2,25-JUL-19,639.822,PR,2019/2111(INI),ANRE,INI,MAIN,EMPL,EMPL
95.0,55.19,55.19,EMPL,6,09-SEP-19,639.999,AM,2019/2111(INI),ANRE,INI,MAIN,EMPL,EMPL
1.71,1.61,1.61,ECR,1,14-OCT-19,642.866,NT,2019/2844(RSP),RESC,RSP,MAIN,ENVI,ENVI
2.24,0.67,0.67,CONT,1,05-NOV-19,643.071,RE,2019/2909(RSP),DECL,RSP,MAIN,CONT,CONT
2.25,0.73,0.94,CONT,1,05-NOV-19,643.071,RE,2019/2909(RSP),DECL,RSP,MAIN,CONT,CONT
2.24,0.7,0.2,CONT,1,05-NOV-19,643.071,RE,2019/2909(RSP),DECL,RSP,MAIN,CONT,CONT
27.22,21.45,23.1,JURI,2,03-DEC-19,644.848,CM,2019/2149(IMM),IMMU,IMM,MAIN,JURI,JURI
2.89,2.17,2.28,JURI,2,31-JAN-20,646.803,PR,2019/2149(IMM),IMMU,IMM,MAIN,JURI,JURI
3.67,2.89,3.05,JURI,1,31-JAN-20,646.803,PR,2019/2149(IMM),IMMU,IMM,MAIN,JURI,JURI
4.01,3.15,3.32,DG1-DEPOT,2,02-MAR-20,646.803,RR,2019/2149(IMM),IMMU,IMM,MAIN,JURI,JURI
46.07,97.48,27.56,DG1-DEPOT,4,03-DEC-20,655.688,RR,2019/2207(INI),IMPL,INI,MAIN,LIBE,LIBE
7.25,5.63,5.93,AFCO,2,09-SEP-20,648.27,AD,2019/2207(INI),IMPL,INI,AVI,AFCO,AFCO
18.86,15.22,15.74,LIBE,4,03-SEP-20,655.688,PR,2019/2207(INI),IMPL,INI,MAIN,LIBE,LIBE
88.28,46.06,46.06,LIBE,4,07-OCT-20,658.878,AM,2019/2207(INI),IMPL,INI,MAIN,LIBE,LIBE
1.57,1.23,1.29,AFCO,2,09-SEP-20,648.27,PA,2019/2207(INI),IMPL,INI,AVI,AFCO,AFCO
19.98,10.51,10.54,AFCO,3,29-SEP-20,658.701,AM,2019/2207(INI),IMPL,INI,AVI,AFCO,AFCO
50.8,30.51,30.51,DG1-DEPOT,6,28-SEP-20,652.425,RR,2019/2201(INI),IMPL,INI,MAIN,AFET,AFET
1.53,1.17,1.29,INTA,1,22-JUL-20,655.639,PA,2019/2201(INI),IMPL,INI,AVI,INTA,INTA
107.32,59.86,59.86,AFET,5,22-JUL-20,655.747,AM,2019/2201(INI),IMPL,INI,MAIN,AFET,AFET
12.59,10.23,11.48,AFET,1,10-JUN-20,652.425,PR,2019/2201(INI),IMPL,INI,MAIN,AFET,AFET
9.22,5.86,5.86,INTA,1,31-AUG-20,655.937,AM,2019/2201(INI),IMPL,INI,AVI,INTA,INTA
5.11,3.84,4.09,INTA,2,22-JUL-20,655.639,AD,2019/2201(INI),IMPL,INI,AVI,INTA,INTA
2.43,1.78,1.78,PPE,1,30-APR-20,647.001,NR,2019/0273(COD),LEG,COD,MAIN,INTA,INTA
19.04,10.44,10.45,INTA,5,05-JUN-20,652.575,AM,2019/0273(COD),LEG,COD,MAIN,INTA,INTA
3.13,2.47,2.47,PPE,1,30-APR-20,647.001,DV,2019/0273(COD),LEG,COD,MAIN,INTA,INTA
16.9,6.68,6.68,DG1-DEPOT,1,06-JUL-20,647.001,RR,2019/0273(COD),LEG,COD,MAIN,INTA,INTA
